Member ID,Transaction Date,Transaction Number,Amount,Category,Sub-Category,Item,Description
120,11/07/2013,1100.0,635.0,Special Events Income,,Special Events Contributions,Special Events Contributions
120,11/07/2013,1100.0,1.0,,,['2016 Membership Dues'],
4,12/28/2013,1148.0,250.0,Program Income,Membership Dues,E 250 Old Friends,Annual Membership - Old Friends
121,10/06/14,1334.0,500.0,Program Income,Membership Dues,E 250 Old Friends,Osprey Sponsor
122,05/01/2015,1305.0,250.0,Direct Public Support,,Corporate Contributions,Corporate Contributions
12,02/24/2015,1179.0,25.0,Program Income,Membership Dues,A 25 Acquaintance,Annual Membership - Acquaintance
12,04/09/2015,1262.0,40.0,Special Events Income,Special Events Sponsors,Tophat Night  - Sponsorship,
119,02/24/2015,1171.0,25.0,Program Income,Membership Dues,A 25 Acquaintance,Annual Membership - Acquaintance
8,10/28/2013,1086.0,25.0,Program Income,Membership Dues,A 25 Acquaintance,Annual Membership - Acquaintance
7,10/24/2013,1030.0,15.0,Program Income,Membership Dues,A 25 Acquaintance,GC Entry Fee Pre-Registered Adult
7,02/24/2015,1218.0,25.0,Special Events Income,,The Great Escape,
128,05/21/2014,1162.0,25.0,Program Income,Membership Dues,A 25 Acquaintance,Annual Membership - Acquaintance
5,10/55/14,1338.0,250.0,Program Income,Membership Dues,A 25 Acquaintance,Silver Level Sponsor
6,10/06/14,1333.0,250.0,Program Income,Membership Dues,A 25 Acquaintance,Individual Sponsor
9,11/12/2013,1112.0,100.0,Program Income,Membership Dues,D 100 Friend,Annual Membership - Friend
138,02/24/2015,1186.0,40.0,Special Events Income,,The Great Escape,
137,02/24/2015,1247.0,20.0,Special Events Income,,The Great Escape,
13,02/24/2015,1200.0,40.0,Special Events Income,,The Great Escape,
14,10/28/2013,1144.0,25.0,Program Income,Membership Dues,A 25 Acquaintance,Annual Membership - Acquaintance
15,02/24/2015,1225.0,40.0,Special Events Income,,The Great Escape,
16,04/17/2015,1285.0,250.0,Special Events Income,,The Great Escape,
17,11/04/2013,1118.0,25.0,Program Income,Membership Dues,A 25 Acquaintance,Annual Membership - Acquaintance
18,11/13/2013,1165.0,50.0,Program Income,Membership Dues,B 50 High-Fiver,14 Annual Membership - High-Fiver
20,12/28/2013,1152.0,25.0,Program Income,Membership Dues,A 25 Acquaintance,Annual Membership - Acquaintance
78,10/03/14,1327.0,500.0,Program Income,Membership Dues,A 25 Acquaintance,Osprey Sponsor
21,02/24/2015,1213.0,20.0,Special Events Income,,The Great Escape,
22,10/19/2013,1044.0,15.0,Special Events Income,,The Great Escape,GC Entry Fee Pre-Registered Adult
23,02/24/2015,1224.0,35.0,Special Events Income,,The Great Escape,
68,02/24/2015,1204.0,55.0,Special Events Income,,The Great Escape,
24,01/08/2015,1299.0,25.0,Program Income,Membership Dues,A 25 Acquaintance,Annual Membership - Acquaintance
25,02/24/2015,1215.0,20.0,Special Events Income,,The Great Escape,
31,05/21/14,1160.0,100.0,Program Income,Membership Dues,D 100 Friend,Annual Membership - Friend
32,09/15/14,1323.0,25.0,Program Income,Membership Dues,A 25 Acquaintance,Annual Membership - Acquaintance
30,11/17/14,1294.0,25.0,Program Income,Membership Dues,A 25 Acquaintance,Annual Membership - Acquaintance
26,10/19/2013,1019.0,15.0,Program Income,Membership Dues,A 25 Acquaintance,GC Entry Fee Pre-Registered Adult
27,05/21/14,1163.0,20.0,Program Income,,Membership Dues,Membership Dues
28,10/24/2013,1066.0,25.0,Program Income,Membership Dues,A 25 Acquaintance,Annual Membership - Acquaintance
28,10/21/14,1352.0,25.0,Program Income,Membership Dues,A 25 Acquaintance,Annual Membership - Acquaintance
29,10/26/2013,1052.0,20.0,Program Income,Membership Dues,A 25 Acquaintance,GC Entry Fee Day of Race Adult
127,02/24/2015,1211.0,20.0,Special Events Income,,The Great Escape,
126,11/13/2013,1133.0,50.0,Program Income,Membership Dues,B 50 High-Fiver,14 Annual Membership - High-Fiver
126,11/20/2013,1072.0,100.0,Program Income,Membership Dues,D 100 Friend,14 Annual Membership - Friend
129,10/28/2013,1088.0,25.0,Program Income,Membership Dues,A 25 Acquaintance,14 Annual Membership - Acquaintance
99,10/30/2013,1078.0,25.0,Program Income,Membership Dues,A 25 Acquaintance,Annual Membership - Acquaintance
100,04/09/2015,1259.0,40.0,Special Events Income,Special Events Sponsors,Tophat Night  - Sponsorship,
101,10/04/2013,1017.0,15.0,Special Events Income,Special Events Sponsors,Tophat Night  - Sponsorship,GC Entry Fee Pre-Registered Adult
101,02/24/2015,1212.0,20.0,Special Events Income,,The Great Escape,
33,11/07/2013,1093.0,25.0,Program Income,Membership Dues,A 25 Acquaintance,14 Annual Membership - Acquaintance
